transaction_id,transactional_date,product_id,customer_id,payment,credit_card,loyalty_card,cost,quantity,price
37,2021-05-07 04:36:00,P0560,4,visa,4041590202339,F,1.4,2,1.69
38,2021-05-07 09:44:00,P0249,5,mastercard,5048373408030116,F,4.12,3,4.89
39,2021-05-07 13:51:00,P0599,2,visa,4041596275107,T,13.54,2,14.79
40,2021-05-07 14:50:00,P0396,9,mastercard,5108754745678799,F,4.18,1,4.89
41,2021-05-07 21:36:00,P0337,6,mastercard,5108751127851572,F,19.24,6,21.19
42,2021-05-07 22:59:00,P0445,4,americanexpress,374283543850705,F,0.15,1,1.19
43,2021-05-08 00:23:00,P0097,6,americanexpress,374288165189936,F,9.91,7,11.29
44,2021-05-08 01:20:00,P0384,4,mastercard,5108750131849994,F,4.83,3,5.19
45,2021-05-08 01:48:00,P0431,4,americanexpress,374283964832018,F,10.67,4,11.59
46,2021-05-08 03:04:00,P0170,10,americanexpress,374288240835982,F,8.13,4,8.89
47,2021-05-08 11:56:00,P0451,6,mastercard,5048379772765294,F,2.41,2,3.29
48,2021-05-08 13:06:00,P0694,7,americanexpress,374283513164061,F,0.23,3,1.29
49,2021-05-08 13:43:00,P0661,3,visa,4041593023791707,F,8.21,4,8.99
50,2021-05-08 14:01:00,P0541,13,americanexpress,374288359993838,F,2.8,5,3.89
51,2021-05-08 14:58:00,P0736,4,visa,4041593367493,F,2.87,1,3.99
52,2021-05-08 16:42:00,P0346,6,mastercard,5108750415993088,F,12.21,2,13.79
53,2021-05-08 17:09:00,P0335,4,mastercard,5048379720157370,F,17.17,1,18.19
54,2021-05-08 17:35:00,P0322,5,americanexpress,374288132485151,T,13.65,2,14.89
55,2021-05-08 21:40:00,P0484,4,mastercard,5108754483790335,F,10.9,1,11.59
56,2021-05-08 22:40:00,P0035,6,visa,4041598082914470,F,11.76,3,13.09
57,2021-05-08 23:32:00,P0268,7,americanexpress,374288707197975,T,11.93,1,13.39
58,2021-05-09 01:25:00,P0741,5,americanexpress,374283963067350,F,8.06,2,8.69
59,2021-05-09 01:54:00,P0454,5,visa,4041592983986489,F,5.79,2,6.99
60,2021-05-09 03:19:00,P0474,5,visa,4041599964251,F,15.66,3,17.49
61,2021-05-09 06:30:00,P0582,6,visa,4041593477620477,F,5.55,4,6.59
62,2021-05-09 06:58:00,P0096,6,mastercard,5048371366204103,F,15.64,2,17.49
63,2021-05-09 10:13:00,P0580,8,americanexpress,374283780229209,F,3.39,5,4.59
64,2021-05-09 11:56:00,P0455,7,americanexpress,374288168586070,F,1.63,1,1.79
65,2021-05-09 15:47:00,P0531,6,americanexpress,374288491063268,F,3.2,2,4.39
66,2021-05-09 17:07:00,P0546,5,americanexpress,374283593685175,F,3.2,2,4.39
67,2021-05-09 18:01:00,P0676,9,mastercard,5048375321591959,F,4.72,3,4.99
68,2021-05-09 18:28:00,P0511,6,visa,4041599716520584,F,7.06,1,8.19
69,2021-05-09 23:49:00,P0468,5,americanexpress,374288567196331,F,13.48,5,14.79
70,2021-05-10 01:14:00,P0100,5,mastercard,5108756748746465,F,12.05,1,13.59
71,2021-05-10 03:11:00,P0357,5,mastercard,5108758275045121,F,3.34,1,4.49
72,2021-05-10 03:32:00,P0225,5,mastercard,5108757043026314,T,7.79,4,8.29
73,2021-05-10 06:25:00,P0410,8,mastercard,5108751003991963,F,2.95,5,4.09
74,2021-05-10 07:50:00,P0560,5,visa,4041599799749,F,1.4,3,1.69
75,2021-05-10 08:28:00,P0353,5,visa,4041590972519,T,15.1,3,16.69
76,2021-05-10 15:11:00,P0411,10,mastercard,5048370011791670,F,13.46,1,14.79
77,2021-05-10 15:59:00,P0485,6,visa,4041597721372,F,19.85,2,21.39
78,2021-05-10 19:28:00,P0622,4,mastercard,5108751065239707,F,13.87,1,14.89
79,2021-05-10 23:56:00,P0527,5,americanexpress,374283920722238,F,16.63,3,18.09
80,2021-05-11 00:48:00,P0482,10,americanexpress,374283230369324,F,2.75,1,3.89
81,2021-05-11 03:15:00,P0291,7,americanexpress,374283225936665,F,14.13,1,14.89
82,2021-05-11 04:09:00,P0697,3,mastercard,5108757114786531,F,19.48,1,21.29
83,2021-05-11 04:15:00,P0535,6,visa,4041596926533704,F,12.16,1,13.69
84,2021-05-11 04:35:00,P0021,6,visa,4041596591619804,F,14.13,2,14.89
85,2021-05-11 06:56:00,P0516,9,mastercard,5108750142064690,F,6.12,3,7.49
86,2021-05-11 07:20:00,P0628,8,mastercard,5048377950961156,T,16.23,1,17.99
87,2021-05-11 15:06:00,P0461,10,mastercard,5048377512335493,T,15.83,3,17.69
88,2021-05-11 15:41:00,P0278,6,americanexpress,374283664476645,F,13.24,2,14.69
89,2021-05-11 17:38:00,P0628,5,mastercard,5048372178297590,F,16.23,3,17.99
90,2021-05-11 18:34:00,P0460,6,americanexpress,374288984376292,F,4.37,1,4.99
91,2021-05-11 19:51:00,P0258,6,mastercard,5048370342014719,F,16.65,1,18.09
92,2021-05-12 01:01:00,P0748,5,mastercard,5108754264951676,F,10.22,2,11.49
93,2021-05-12 03:15:00,P0214,5,mastercard,5048373304757978,F,3.27,3,4.49
94,2021-05-12 03:19:00,P0471,6,mastercard,5048378490862110,F,14.12,1,14.89
95,2021-05-12 04:20:00,P0258,7,visa,4041592754261,F,16.65,1,18.09
